text_1,text_2,text_3,text_4,constructive,test_1,test_2,test_3,test_4
"i quite sure day ago writer think car great thing since slice bread sputter piece junk . when person say buy car base pollutant level unmitigated liar , writer .","i quite sure day ago writer think car great thing since slice bread sputter piece junk . when person say buy car base pollutant level unmitigated liar , writer .","i be quite sure that up until a few day ago the writer think his car be the great thing since slice bread but it be now a sputter piece of junk . when person say they buy a car base on its pollutant level they be unmitigated liar , as be this writer .","i be quite sure that up until a few day ago the writer think his car be the great thing since slice bread but it be now a sputter piece of junk . when person say they buy a car base on its pollutant level they be unmitigated liar , as be this writer .",0,1,1,1,1
"it fbi decision might taint election , crooked hilary 's behaviour taint election . you amazing tolerance crooked hilary","it fbi decision might taint election , crooked hilary 's behaviour taint election . you amazing tolerance crooked hilary","it be not the fbi decision that might taint the election , it be crooked hilary 's behaviour that will taint the election . you have a amazing tolerance for crooked hilary","it be not the fbi decision that might taint the election , it be crooked hilary 's behaviour that will taint the election . you have a amazing tolerance for crooked hilary",0,1,1,1,1
"i know country need more - julius cesar , josef stalin adolf hitler .","i know country need more - julius cesar , josef stalin adolf hitler .","i don not know whom this country need more - julius cesar , josef stalin or adolf hitler .","i don not know whom this country need more - julius cesar , josef stalin or adolf hitler .",0,1,1,1,1
"my question wait quebec decide ? why rest canada referendum decide whether want part canada . quite frankly , despite close tie french culture i be get sick quebecers .","my question wait quebec decide ? why rest canada referendum decide whether want part canada . quite frankly , despite close tie french culture i be get sick quebecers .","my question be why be we wait for quebec to decide ? why do not the rest of canada have a referendum to decide whether we want they to be part of canada . quite frankly , despite my close tie to the french culture i be get sick of quebecers .","my question be why be we wait for quebec to decide ? why do not the rest of canada have a referendum to decide whether we want they to be part of canada . quite frankly , despite my close tie to the french culture i be get sick of quebecers .",0,1,1,1,1
"such contrast . ibbitson fret harper 's sensitive nature cause breakdown campaign . kind make harper sound like ' wet ' , i take anything ibbitson seriously .","such contrast . ibbitson fret harper 's sensitive nature cause breakdown campaign . kind make harper sound like ' wet ' , i take anything ibbitson seriously .","such a contrast . ibbitson fret that harper 's sensitive nature will cause he to have a breakdown on the campaign . kind of make harper sound like a ' wet ' , if i take anything by ibbitson seriously .","such a contrast . ibbitson fret that harper 's sensitive nature will cause he to have a breakdown on the campaign . kind of make harper sound like a ' wet ' , if i take anything by ibbitson seriously .",0,1,1,1,1
"the train seal harper must leave renewal go happen . they stand mouth shut tell say . they think strong enough say more , would change now ??","the train seal harper must leave renewal go happen . they stand mouth shut tell say . they think strong enough say more , would change now ??","the train seal under harper must leave if any renewal be go to happen . they stand by with their mouth shut and be tell what to do and say . they could not think on their own and be not strong enough to say no more , why would that change now ??","the train seal under harper must leave if any renewal be go to happen . they stand by with their mouth shut and be tell what to do and say . they could not think on their own and be not strong enough to say no more , why would that change now ??",0,1,1,1,1
"funny liberals attack ad ok , pc be it ! just look ontario election prime example !","funny liberals attack ad ok , pc be it ! just look ontario election prime example !","funny how when its the liberals do the attack ad its ok , but not when the pc be do it ! just look at the ontario election as a prime example !","funny how when its the liberals do the attack ad its ok , but not when the pc be do it ! just look at the ontario election as a prime example !",0,1,1,1,1
http://www.macleans.ca/general/speaking-on-behalf-of-the-party-sometimes-means-shutting-up-preston-manning-says/wonder tell conservative year speak mind .,http://www.macleans.ca/general/speaking-on-behalf-of-the-party-sometimes-means-shutting-up-preston-manning-says/wonder tell conservative year speak mind .,http://www.macleans.ca/general/speaking-on-behalf-of-the-party-sometimes-means-shutting-up-preston-manning-says/wonder if he will tell conservative again this year to not speak their mind .,http://www.macleans.ca/general/speaking-on-behalf-of-the-party-sometimes-means-shutting-up-preston-manning-says/wonder if he will tell conservative again this year to not speak their mind .,0,1,1,1,1
"this read like rather one - sided article , teed - up mr. simpson 's opinion , liberal mr. brison use bolster critical opinion ' the cons ' . come editor ... please fact article , few ' cheap shot '","this read like rather one - sided article , teed - up mr. simpson 's opinion , liberal mr. brison , use bolster critical opinion ' the cons ' . come editor ... please fact article , few ' cheap shot ' .","this read like a rather one - sided article , which teed - up a few of mr. simpson 's opinion , for liberal mr. brison to use to bolster his critical opinion about ' the cons ' . come on editor ... please have more fact in your article , and few ' cheap shot '","this read like a rather one - sided article , which teed - up a few of mr. simpson 's opinion , for liberal mr. brison , to use to bolster his critical opinion about ' the cons ' . come on editor ... please have more fact in your article , and few ' cheap shot ' .",0,1,1,1,1
public sector employee get back work instead waste time forum .,public sector employee get back work instead waste time forum .,public sector employee should get back to work instead of waste time on this forum .,public sector employee should get back to work instead of waste time on this forum .,0,1,1,1,1
